source,bbvar,nblocks,flux_mean,flux_std,flux_min,flux_max,nearby_count,nfft_peaks
J1239.5+0443,7099.072761171061,55,27.0,15.874507866387544,0.0,54.0,5,3
J1239.5+4134,1.0935672632360172,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1239.7-3453,26.625796530915522,3,1.0,0.816496580927726,0.0,2.0,5,2
J1239.7-6845,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1240.4-7149,30.08259645653004,2,0.5,0.5,0.0,1.0,5,2
J1240.5-2607,99.52796052709932,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1240.9-2918,40.20008870058973,3,1.0,0.816496580927726,0.0,2.0,5,2
J1241.5+4235,0.001115880129418656,1,0.0,0.0,0.0,0.0,5,3
J1241.8+3439,0.0046247290561041154,1,0.0,0.0,0.0,0.0,5,2
J1241.8-1455,5.6807042618621715,2,0.5,0.5,0.0,1.0,5,2
J1241.8-6137,0.0006616063637920888,1,0.0,0.0,0.0,0.0,5,2
J1241.9+0636,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1242.0-6706,0.0010660535681381589,1,0.0,0.0,0.0,0.0,5,2
J1242.5+7634,1.5228841376716389,2,0.5,0.5,0.0,1.0,5,2
J1242.6+3236,0.0009187188604435903,1,0.0,0.0,0.0,0.0,5,2
J1242.7-1753,0.0006201805117598269,1,0.0,0.0,0.0,0.0,5,2
J1242.8+3729,28.739824066253277,2,0.5,0.5,0.0,1.0,5,2
J1243.0-5821,0.0004876513485214673,1,0.0,0.0,0.0,0.0,5,2
J1243.1+3950,44.078780610183,3,1.0,0.816496580927726,0.0,2.0,5,2
J1243.1+7315,0.0006048073992133141,1,0.0,0.0,0.0,0.0,5,2
J1243.1-5459,0.7218729616950412,2,0.5,0.5,0.0,1.0,5,2
J1243.1-6754,0.00076265083225735,1,0.0,0.0,0.0,0.0,5,2
J1243.2+3627,104.78342008573964,4,1.5,1.118033988749895,0.0,3.0,5,2
J1243.4+5312,0.00735333813807415,2,0.5,0.5,0.0,1.0,5,2
J1243.7+1726,91.22420759438282,5,2.0,1.4142135623730951,0.0,4.0,5,3
J1243.8-0218,435.7876386001007,12,5.5,3.452052529534663,0.0,11.0,5,3
J1243.8-2053,0.0001231631904374808,1,0.0,0.0,0.0,0.0,5,2
J1244.2-4955,56.21578723926166,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1244.5+1615,71.56868050866652,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1244.5-6232,0.000202082097530365,1,0.0,0.0,0.0,0.0,5,2
J1245.1+5709,36.23823041152451,4,1.5,1.118033988749895,0.0,3.0,5,2
J1245.2+3325,18.41587971630662,2,0.5,0.5,0.0,1.0,5,2
J1245.4+0359,1201.717799807193,21,10.0,6.0553007081949835,0.0,20.0,5,2
J1245.8+0231,35.06563216900827,3,1.0,0.816496580927726,0.0,2.0,5,2
J1246.0-5950,17.26165125145417,2,0.5,0.5,0.0,1.0,5,2
J1246.1+0113,158.79939542549982,6,2.5,1.707825127659933,0.0,5.0,5,3
J1246.3-3432,0.0003268776636105031,1,0.0,0.0,0.0,0.0,5,2
J1246.7-2547,7339.483122594631,65,32.0,18.76166303929372,0.0,64.0,5,3
J1247.0+4421,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1247.0-5016,1.5923863600164623e-05,1,0.0,0.0,0.0,0.0,5,2
J1247.2-6638,27.779636990646395,3,1.0,0.816496580927726,0.0,2.0,5,2
J1247.8+0710,45.005649103397545,4,1.5,1.118033988749895,0.0,3.0,5,2
J1248.3+5820,310.60602166044555,10,4.5,2.8722813232690143,0.0,9.0,5,2
J1248.6+5128,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1248.8+4840,74.47120219828277,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1248.8-5901,0.0012657679617404938,1,0.0,0.0,0.0,0.0,5,2
J1249.2-2808,30.522987296042572,4,1.5,1.118033988749895,0.0,3.0,5,2
J1249.3-0545,17815.95208847813,60,29.5,17.318102282486574,0.0,59.0,5,2
J1249.8+3708,33.95126368096192,4,1.5,1.118033988749895,0.0,3.0,5,2
J1249.9-3918,0.0031195758638205007,1,0.0,0.0,0.0,0.0,5,2
J1250.1+3157,7.801058497136637e-05,1,0.0,0.0,0.0,0.0,5,2
J1250.4-5422,0.00030352413523360156,1,0.0,0.0,0.0,0.0,5,2
J1250.6+0216,29.427750358915002,3,1.0,0.816496580927726,0.0,2.0,5,2
J1250.6-5618,0.0006623232284255209,1,0.0,0.0,0.0,0.0,5,2
J1250.8+3117,52.7729285845694,3,1.0,0.816496580927726,0.0,2.0,5,2
J1250.9-4944,0.020719146355986595,1,0.0,0.0,0.0,0.0,5,2
J1251.3+1038,84.34571413678037,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1251.3-0202,1268.5944633732902,23,11.0,6.6332495807108,0.0,22.0,5,3
J1251.5-1719,102.14811884444407,7,3.0,2.0,0.0,6.0,5,2
J1252.3-5407,25.750762490037232,3,1.0,0.816496580927726,0.0,2.0,5,2
J1252.7-0526,28424.786133571113,82,40.5,23.66960075708925,0.0,81.0,5,3
J1252.8-3321,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1253.2+5301,444.02039343326123,15,7.0,4.320493798938574,0.0,14.0,5,2
J1253.5-5816,0.00027421116828918457,1,0.0,0.0,0.0,0.0,5,2
J1253.7-3933,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1253.8+0327,33.31644257773587,4,1.5,1.118033988749895,0.0,3.0,5,3
J1253.9+6242,36.57063139270758,3,1.0,0.816496580927726,0.0,2.0,5,2
J1254.3-2205,187.50354695379974,7,3.0,2.0,0.0,6.0,5,2
J1254.5+2210,54.38692730585555,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1254.6-4516,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1254.9-0540,68151.34562057062,122,60.5,35.21718330588067,0.0,121.0,5,3
J1255.0+1138,139.17857912252566,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1255.0-4426,0.0005910741165280342,1,0.0,0.0,0.0,0.0,5,2
